"#symptom,disease"
hunger;diabetes_type_1;diabetes_type_2;hyperglycemia
fatigue;diabetes_type_1;diabetes_type_2;addisons_disease;low_testosteron;hypoparathyroidism;hyperglycemia
peeing_more_often;diabetes_type_1;diabetes_type_2;hyperglycemia
dry_mouth;diabetes_type_1;diabetes_type_2;diabetic_coma
itchy_skin;diabetes_type_1;diabetes_type_2
blurred_vision;diabetes_type_1;diabetes_type_2;hyperglycemia;hypoglycemia
weight_loss;diabtes_type_1;hyperglycemia;osteoporosis;addisons_disease
nausea;diabetes_type_1;hyperparathyroidism;addisons_disease
vomiting;diabetes_type_1;hyperparathyroidism;addisons_disease
yeast_infections;diabetes_type_2
slow_healing_sores_or_cuts;diabetes_type_2;hyperglycemia;cushing_syndrome
pain_in_legs;diabetes_type_2
fast_heartbeat;hypoglycemia
pale_skin;hypoglycemia
headache;hypoglycemia;cushing_syndrome
nightmares;hypoglycemia
coordination_problems;hypoglycemia
seizures;hypoglycemia
sweating;hypoglycemia
heavy_thirst;hyperglycemia;diabetic_coma
tingling_feet;hyperglycemia;hypoparathyroidism
sugar_in_urine;hyperglycemia
vaginal_infection;hyperglycemia
skin_infection;hyperglycemia
dry_skin;diabetic_coma;hypoparathyroidism;menopause
high_fever;diabetic_coma
vision_loss;diabetic_coma
hallucinations;diabetic_coma
weakness;diabetic_coma;hyperparathyroidism
back_pain;osteoporosis
a_stooped_posture;osteoporosis
easily_broken_bones;osteoporosis;hyperparathyroidism
a_lump_on_the_neck;thyroid_cancer
changed_voice;thyroid_cancer
difficulty_swallowing;thyroid_cancer
throat_pain;thyroid_cancer
kidney_stones;hyperparathyroidism
abdominal_pain;hyperparathyroidism;addisons_disease
depression;hyperparathyroidism
cramps_in_legs;hypoparathyroidism
twitching_muscles;hypoparathyroidism
hair_loss;hypoparathyroidism;low_testosterone
brittle_nails;hypoparathyroidism
low_sex_drive;low_testosterone
erectile_dysfunction;low_testosterone;cushing_syndrome
low_semen_volume;low_testosterone
loss_of_muscle_mass;low_testosterone
increased_body_fat;low_testosterone
mood_changes;low_testosterone;menopause
affected_memory;low_testosterone
low_blood_counts;low_testosterone
irregular_periods;menopause
hot_flashes;menopause
chills;menopause
night_sweats;menopause
sleep_problems;menopause
weight_gain;menopause;cushing_syndrome
thinning_hair;menopause
hyperpigmention;addisons_disease
low_blood_pressure;addisons_disease
salt_craving;addisons_disease
diarrhea;addisons_disease
muscle_pain;addisons_disease
irritability;addisons_disease
body_hair_loss;addisons_disease
striae;cushing_syndrome
ance;cushing_syndrome
decreased_libido;cushing_syndrome
congnitive_difficulties;cushing_syndrome
